CellType	Signatures
BCell	CD19
BCell	PTPRC
BCell	CD40LG
BCell	CD79A
BCell	MS4A1
TCell	CD4
TCell	CD8A
TCell	CD8B
TCell	TRB
TCell	TRA
TCell	FOXP3
TCell	IL2RA
TCell	SELL
TCell	ICOS
TCell	PDCD1
TCell	CTLA4
TCell	NRP1
TCell	CCR10
TCell	CLEC4C
TCell	ID3
TCell2	CD74
TCell2	ICAM1
TCell2	IL7R
TCell2	CCR7
TCell2	CD69
TCell2	CD3E
TCell2	CD3G
NK	NCR1
NK	KLRB1
NK	NCAM1
NK	NCR1
NK	KLRD1
NK	XCL1
NK	NCR3
NK	CCR5
NK	GZMH
NK	SIGLEC7
NK	GNLY
NK	NKG7
DC	ITGAX
DC	ITGAE
DC	CD40
DC	LY75
DC	BST2
DC	LGALS3
DC	FCER1A
DC	CST3
Macro	ITGAM
Macro	ITGAX
Macro	CD68
Macro	FCGR3A
Macro	ADGRE1
Macro	HLA-DPB1
Macro	HLA-DMA
Macro	HLA-DOA
Macro	HLA-DOB
Macro	HLA-DQA1
Macro	HLA-DRA
Macro	TMEM119
Macro	VCAM1
Macro	CD74
Macro	CX3CR1
Endo	PECAM1
Endo	CD34
Endo	PROCR
Endo	EPAS1
Mega	PF4
Mega	PTCRA
Fibro	PDGFRA
Fibro	PDGFRB
Fibro	PDPN
Fibro	COL1A2
Fibro	COL3A1
Fibro	TIMP2
Fibro	TIMP3
Fibro	MMP2
Fibro	POSTN
Fibro	ACTN2
Fibro	SDC1
Fibro	S100A4
Fibro	ACTA2
Fibro	KIT
Fibro	CEBPB
Fibro2	DLK1
Fibro2	ACTA1
Fibro2	DES
Fibro2	RGS5
Fibro2	CSPG4
Fibro2	MCAM
Fibro2	FAP
Fibro2	FABP4
Fibro2	FN1
Fibro2	COL1A1
Fibro2	COL1A3
Fibro2	COL6A3
Fibro2	MMP23
Fibro2	HSPA1A
Fibro2	GADD45B
