Gene	Subtype
FOXC1	Basal
MIA	Basal
NDC80	Basal
CEP55	Basal
ANLN	Basal
MELK	Basal
GPR160	Basal
TMEM45B	Basal
ESR1	Basal
FOXA1	Basal
ERBB2	Her2
GRB7	Her2
FGFR4	Her2
BLVRA	Her2
BAG1	Her2
CDC20	Her2
CCNE1	Her2
ACTR3B	Her2
MYC	Her2
SFRP1	Her2
KRT14	Normal
KRT17	Normal
KRT5	Normal
MLPH	Normal
CCNB1	Normal
CDC6	Normal
TYMS	Normal
UBE2T	Normal
RRM2	Normal
MMP11	Normal
CXXC5	LumB
ORC6L	LumB
MDM2	LumB
KIF2C	LumB
PGR	LumB
MKI67	LumB
BCL2	LumB
EGFR	LumB
PHGDH	LumB
CDH3	LumB
NAT1	LumA
SLC39A6	LumA
MAPT	LumA
UBE2C	LumA
PTTG1	LumA
EXO1	LumA
CENPF	LumA
NUF2	LumA
MYBL2	LumA
BIRC5	LumA
